t[yr],M_FUV,M_NUV,M_u,M_g,M_r
1.76E7,1.3587884,1.3998211,1.5819331,1.5616402,1.5310949
1.77E7,1.3662609,1.4069029,1.5887951,1.5712983,1.5433904
1.78E7,1.3737335,1.4139847,1.5956572,1.5809564,1.5556859
1.79E7,1.381206,1.4210665,1.6025192,1.5906146,1.5679814
1.8E7,1.3886786,1.4281483,1.6093812,1.6002727,1.5802769
1.81E7,1.3961511,1.4352301,1.6162432,1.6099308,1.5925723
1.82E7,1.4035933,1.4422778,1.623052,1.6194914,1.6047946
1.83E7,1.4100502,1.4482219,1.6281336,1.6258901,1.6146432
1.84E7,1.4165071,1.454166,1.6332153,1.6322887,1.6244917
1.85E7,1.422964,1.4601101,1.6382969,1.6386874,1.6343403
1.86E7,1.429421,1.4660542,1.6433786,1.645086,1.6441889
1.87E7,1.4358779,1.4719983,1.6484602,1.6514847,1.6540374
1.88E7,1.4423348,1.4779424,1.6535418,1.6578833,1.663886
1.89E7,1.4487917,1.4838865,1.6586235,1.664282,1.6737345
1.9E7,1.4552487,1.4898306,1.6637051,1.6706806,1.6835831
1.91E7,1.4617415,1.4957558,1.6685897,1.6751671,1.6898068
1.92E7,1.4682784,1.5016579,1.6732334,1.6773164,1.6915997
1.93E7,1.4748152,1.50756,1.6778771,1.6794656,1.6933926
1.94E7,1.481352,1.5134621,1.6825208,1.6816149,1.6951855
1.95E7,1.4878888,1.5193641,1.6871645,1.6837641,1.6969783
1.96E7,1.4944256,1.5252662,1.6918082,1.6859134,1.6987712
1.97E7,1.5009625,1.5311683,1.6964519,1.6880626,1.7005641
1.98E7,1.5074993,1.5370704,1.7010957,1.6902119,1.702357
1.99E7,1.5140361,1.5429724,1.7057394,1.6923611,1.7041499
2.0E7,1.5204305,1.5487955,1.7102055,1.6948352,1.7061802
2.01E7,1.5266644,1.5545294,1.7144713,1.6976756,1.708478
2.02E7,1.5328984,1.5602633,1.7187372,1.700516,1.7107758
2.03E7,1.5391323,1.5659973,1.723003,1.7033563,1.7130737
2.04E7,1.5453662,1.5717312,1.7272689,1.7061967,1.7153715
2.05E7,1.5516001,1.5774651,1.7315348,1.7090371,1.7176693
2.06E7,1.557834,1.5831991,1.7358006,1.7118775,1.7199672
2.07E7,1.564068,1.588933,1.7400665,1.7147178,1.722265
2.08E7,1.5703019,1.5946669,1.7443323,1.7175582,1.7245628
2.09E7,1.5765429,1.6004088,1.7486045,1.7204037,1.7268703
2.1E7,1.5828778,1.6062564,1.7529597,1.7233174,1.7293069
2.11E7,1.5892128,1.6121041,1.757315,1.726231,1.7317434
2.12E7,1.5955477,1.6179517,1.7616703,1.7291447,1.7341799
2.13E7,1.6018827,1.6237994,1.7660256,1.7320584,1.7366164
2.14E7,1.6082177,1.629647,1.7703809,1.7349721,1.7390529
2.15E7,1.6145526,1.6354947,1.7747362,1.7378857,1.7414895
